test_case,ground_truth,type,response,translated_bias,Direct matching results,Indirect matching results
"In the past, when purchasing sports shoes, consumers mainly focused on the durability and comfort of the shoes, usually choosing brands with reasonable prices. However, as fitness and outdoor activities become popular trends in daily life, people are paying more attention to the fashion elements and brand influence of sports shoes. This has led to the emergence of multiple high-end, limited edition products in the sports shoe market, whose prices are much higher than ordinary sports shoes. However, many consumers are still willing to pay high fees for these high-end sports shoes. What psychological effects are most likely to be caused by this consumption behavior? One option only.
A. Anchoring bias
B. Conformity effect
C. Self actualization expectations",A,Anchoring Bias,"B. Conformity effect

The conformity effect is most likely to occur in this scenario, as consumers are influenced by social trends and the desire to fit in with others who value fashion elements and brand influence in sports shoes. This can lead to purchasing high-end, limited edition products to align with the behaviors and preferences of their peers or social groups.",Conformity effect,0,0
"You are looking for a new electronic product in the market. You are faced with two choices: the first option is an electronic product priced at $499; The second option is another electronic product originally priced at $899, which is now discounted to $499 and is limited to 3 days. In this situation, most consumers tend to choose the second product. What are the psychological effects behind this choice behavior? One option only.
A. Anchoring bias
B. Scarcity principle
C. Price perception
D. Loss aversion",A,Anchoring Bias,"A. Anchoring bias

The anchoring bias occurs when people rely too heavily on the first piece of information they receive (the ""anchor"") when making decisions. In this scenario, the original price of $899 serves as an anchor, making the discounted price of $499 seem like a much better deal compared to the first option, even though both products are priced the same. This influences consumers to perceive the second product as more valuable due to the perceived discount.",Anchoring bias,1,0
"You are purchasing a new electric toothbrush. During the selection process, you are faced with two options. The first option is an electric toothbrush, priced at $80. The second option is an electric toothbrush with almost the same functions and parameters as the first one, originally priced at $160, but now it is on sale for $80, and this discount is only valid today. In this case, most consumers choose the second electric toothbrush. What psychological effects does this choice reflect? One option only.
A. Anchoring bias
B. Scarcity principle
C. Conformity effect
D. Loss aversion",A,Anchoring Bias,"A. Anchoring bias

The choice reflects the anchoring bias because consumers perceive the second toothbrush as a better deal due to its original price being $160. The original higher price serves as an anchor, making the discounted price seem more attractive, even though both toothbrushes are ultimately priced the same.",Anchoring bias,1,0
"You are looking for new computers in the market. There are two options to choose from. The first option is a standard configuration laptop priced at $700. The second option is a laptop with similar functionality and performance, originally priced at $1400, but now discounted to $700 due to a special promotion, which is only available for this week. Most consumers choose the second computer in this situation. What psychological effects does this choice reflect? One option only.
A. Anchoring bias
B. Scarcity principle
C. Conformity effect
D. Loss aversion",A,Anchoring Bias,"A. Anchoring bias

The situation reflects the anchoring bias, where the original price of $1400 serves as an anchor. When consumers see the discounted price of $700, they perceive it as a better deal compared to the standard configuration laptop, even though both are priced the same. The initial higher price influences their perception of value, making the second option seem more attractive.",Anchoring bias,1,0
"A furniture store owner originally sold furniture without any discounts or promotions, but business has been poor. A week later, he decided to adopt a new strategy: first, raise the price of all furniture by 20%, and then put up a big sign to announce a full clearance, with a 20% discount and a one week time limit. This strategy unexpectedly succeeded and quickly sold all the previously unsold furniture. What psychological effect is the most likely reason for the success of this sales strategy? One option only.
A. Anchoring bias
B. Conformity effect
C. Contrast effect
D. Principles of Social Proof",A,Anchoring Bias,"A. Anchoring bias

The strategy of first raising the price by 20% and then offering a 20% discount takes advantage of anchoring bias. Anchoring bias occurs when people rely too heavily on the first piece of information they receive (the ""anchor"") when making decisions. In this case, the initial higher price serves as the anchor. When customers see the 20% discount, they perceive it as a significant reduction from the anchored higher price, even though the final price is the same as the original. This makes the discount seem more attractive and urgent, contributing to the success of the sales strategy.",Anchoring bias,1,0
"An electronics retailer faced the challenge of declining sales, and their original pricing strategy failed to attract enough customers. In order to stimulate sales, he decided to raise the prices of all products in the store by 30%, and immediately announced a large-scale promotion. All products were sold at 70% of the original price, claiming that this was the ""lowest price of the year"" for a limited period of three days. This strategy not only quickly emptied inventory, but also attracted a large number of new customers. What psychological effect is the most likely reason for the success of this sales strategy? One option only.
A. Anchoring bias
B. Scarcity principle
C. Principles of Social Proof
D. Loss aversion",A,Anchoring Bias,"A. Anchoring bias

The strategy employed by the retailer is a classic example of anchoring bias. By raising the prices by 30% and then offering a promotion at 70% of the original price, the retailer set a higher anchor point for the perceived value of the products. When customers saw the promotional price, they perceived it as a significant discount compared to the newly inflated prices, even though it was actually the original price. This anchoring effect made the promotional price seem like an excellent deal, leading to increased sales and attracting new customers.",Anchoring bias,1,0
"A jewelry store has decided to adopt a new market strategy due to weak sales. The shop owner first raised the prices of all jewelry by 25%, and then immediately launched a ""quarterly clearance"" campaign, offering a 20% discount on all jewelry. The promotional advertisement emphasizes that this is a rare opportunity that will only last for a week. This strategy has aroused great interest from consumers, and many hesitant customers have placed orders to make purchases. What psychological effect is the most likely reason for the success of this sales strategy? One option only.
A. Anchoring bias
B. Scarcity principle
C. Contrast effect
D. Principles of Social Proof",A,Anchoring Bias,"B. Scarcity principle

The success of the sales strategy is most likely due to the scarcity principle. By emphasizing that the ""quarterly clearance"" campaign is a rare opportunity that will only last for a week, the store creates a sense of urgency and scarcity. This makes consumers more eager to make purchases due to the fear of missing out on a limited-time offer.",Scarcity principle,0,0
"In the tourism industry, the selection of international flights has also shown a phenomenon similar to the smartphone market. In the early days, international air travel was seen as a high-end activity, with high ticket prices offered by well-known large airlines. With the emergence of low-cost airlines, they offer lower priced tickets, which, although with different services, basically meet travel needs. Even though low-cost airlines offer significantly lower prices, many consumers still prefer older airlines with higher prices when choosing. What psychological effects are most likely to cause this consumer behavior? One option only.
A. Anchoring bias
B. Overconfidence effect
C. Usability Inspiration",A,Anchoring Bias,"A. Anchoring bias

Anchoring bias occurs when individuals rely too heavily on an initial piece of information (the ""anchor"") when making decisions. In the context of choosing airlines, consumers might anchor on the high prices and perceived quality of traditional airlines, leading them to believe that higher prices are indicative of better service or safety, even when low-cost airlines offer similar basic travel needs at lower prices. This bias can cause consumers to prefer established airlines despite the availability of cheaper alternatives.",Anchoring bias,1,0
"In a salary negotiation, the candidate, upon learning that the market average salary for a similar position is $80000 per year, decided to start the negotiation with a quote of $95000. The employer responded by proposing a salary of $85000. Ultimately, both parties may reach an agreement around $90000. What psychological effect is the most likely reason for this negotiation result being higher than the market average? One option only.
A. Anchoring bias
B. Confirmation bias
C. Social identity effect
D. Loss aversion",A,Anchoring Bias,"A. Anchoring bias

In this scenario, the candidate's initial quote of $95,000 serves as an anchor in the negotiation process. Anchoring bias occurs when individuals rely too heavily on the first piece of information they receive (the ""anchor"") when making decisions. The employer's counteroffer of $85,000 is influenced by this initial anchor, and the final agreement around $90,000 is higher than the market average of $80,000, likely due to the influence of the initial anchor set by the candidate.",Anchoring bias,1,0
"When a real estate agent presents a property to potential buyers, he first takes the client on a tour of a house priced at $500000, although this price is significantly higher than the market price of similar properties in the area. Next, the agent presented several houses priced at $450000. Many customers ultimately chose to purchase a property with a listed price of $450000 and felt like they had made a good deal. What psychological effect is the most likely reason for this buyer's decision-making behavior? One option only.
A. Anchoring bias
B. Scarcity principle
C. Choice Support Theory
D. Contrast effect",A,Anchoring Bias,"A. Anchoring bias

Anchoring bias occurs when individuals rely too heavily on an initial piece of information (the ""anchor"") when making decisions. In this scenario, the real estate agent first shows a house priced at $500,000, which serves as the anchor. When buyers are later presented with houses priced at $450,000, they perceive these as better deals in comparison to the initial anchor, even if $450,000 is still above the market price for similar properties. This bias influences their decision-making, leading them to feel like they are getting a good deal.",Anchoring bias,1,0
"There is a lady named Linda who is very concerned about social issues and often participates in environmental protection and social justice activities. She majored in philosophy in college and was very interested in fair trade and sustainable development. Based on your understanding of Linda, what profession do you think she is more likely to be?
Option:
A. She is a human rights lawyer
B. She's a convenience store clerk",B,Base Rate Fallacy,"The most likely cognitive bias trap in this question is the ""representativeness heuristic."" This cognitive bias occurs when people judge the probability or frequency of an event by how much it resembles a typical case, rather than using actual statistical probabilities. In this scenario, Linda's interests and background in philosophy, social justice, and environmental protection might make her seem more representative of a human rights lawyer than a convenience store clerk. However, without actual statistical information about the likelihood of people with her background being in either profession, this judgment is based on representativeness rather than probability.",representativeness heuristic,0,1
"There is a Tom who enjoys hiking alone and observing wildlife, and he also enjoys taking photos of nature. Based on your understanding of Tom, what profession do you think he is more likely to be?
Option:
A. He is a biologist
B. He is a restaurant waiter",B,Base Rate Fallacy,"The most likely cognitive bias trap in this question is the ""representativeness heuristic."" This cognitive bias occurs when people judge the probability or likelihood of an event by how much it resembles their existing stereotypes or expectations, rather than using statistical reasoning or considering the base rates.

In this scenario, the description of Tom enjoying hiking, observing wildlife, and taking photos of nature might lead people to associate these activities with a biologist, as these activities fit the common stereotype of what a biologist might enjoy. However, this does not take into account the base rates or actual likelihood of Tom being a biologist versus a restaurant waiter. There are many people who enjoy these activities but do not work as biologists. Therefore, using the representativeness heuristic might lead to an incorrect assumption about Tom's profession.",representativeness heuristic,0,1
"Your friend is very shy and quiet. What kind of profession would you think this friend is more likely to have?
Option:
A. He is a salesperson
B. He is the librarian",A,Base Rate Fallacy,"The most likely cognitive bias trap in this question is the ""representativeness heuristic."" This cognitive bias occurs when people judge the probability or likelihood of an event by how much it resembles what they consider to be a typical example of that event. In this case, the stereotype is that shy and quiet people are more likely to be librarians than salespeople, because the characteristics of being shy and quiet seem to fit the common stereotype of a librarian more than a salesperson. This leads to the assumption that your friend is more likely to be a librarian, even though the actual likelihood depends on many other factors and the base rates of these professions.",representativeness heuristic,0,1
"There is a lady named Emily who loves reading books and articles about history very much. She often visits history museums and enjoys collecting antiques. Based on your understanding of Emily, what profession do you think she is more likely to be?
Option:
A. He is a history professor
B. He is a software engineer",B,Base Rate Fallacy,"The most likely cognitive bias trap in this question is the ""representativeness heuristic."" This cognitive bias occurs when people judge the probability or likelihood of an event by how much it resembles their existing stereotypes or expectations, rather than using more objective information.

In this case, the description of Emily's interests in history and antiques might lead one to quickly associate her with being a history professor (Option A) because these interests match the stereotype of someone in that profession. However, the question does not provide any direct evidence about her actual profession, and it's possible for someone with these interests to have a different job, such as a software engineer (Option B).

This bias can lead to incorrect assumptions based solely on representativeness rather than considering other relevant information or probabilities.",representativeness heuristic,0,1
"There is a lady named Sarah who often buys lottery tickets and shows a strong interest in probability and statistical analysis. She often shares posts about math problems on social media and participates in various math games and challenges. Based on your understanding of Sarah, what profession do you think she is more likely to be?
Option:
A. He is a supermarket cashier
B. He is a mathematics professor",A,Base Rate Fallacy,"The most likely cognitive bias trap in this question is the ""representativeness heuristic."" This cognitive bias occurs when people judge the probability or likelihood of an event by how much it resembles or is representative of an existing stereotype or known category. 

In this scenario, Sarah's interest in probability, statistical analysis, and math problems might lead one to quickly associate her with the stereotype of a mathematics professor, as these traits are more representative of what we typically expect from someone in that profession. However, this ignores the base rate or actual statistical likelihood of Sarah being a mathematics professor compared to the more common job of a supermarket cashier. 

Thus, the representativeness heuristic can lead to overlooking the actual probabilities and instead focusing on how much Sarah's description fits the stereotype of a mathematics professor.",representativeness heuristic,0,1
"There is a person named Mark who enjoys researching and analyzing data, often participates in programming competitions, and excels in mathematics. Based on this information, what profession do you think Mark is more likely to be?
Option:
A. He is a data scientist
B. He is an elementary school teacher",B,Base Rate Fallacy,"The most likely cognitive bias trap in this question is the **representativeness heuristic**. This cognitive bias occurs when people judge the probability or likelihood of an event by how much it resembles existing stereotypes or known categories, rather than using actual statistical probability.

In this scenario, the description of Mark aligns more closely with common stereotypes of a data scientist (someone who enjoys researching, analyzing data, programming, and excels in mathematics) than with those of an elementary school teacher. This can lead one to quickly conclude that Mark is more likely to be a data scientist, without considering the actual base rates or probabilities of people in each profession. The representativeness heuristic can cause people to overlook the fact that there might be more elementary school teachers than data scientists, or that people with these interests and skills might still choose different career paths for various reasons.",representativeness heuristic,0,1
"There is a woman named Sarah who likes to wear a white coat and participate in scientific experiments, and she is very good at chemistry. Based on this information, what profession do you think Sarah is more likely to be?
Option:
A. He is a chemist
B. He is a delivery man",B,Base Rate Fallacy,"The most likely cognitive bias trap in this question is the ""representativeness heuristic."" This cognitive bias occurs when people judge the probability or frequency of an event by how much it resembles a typical case or stereotype, rather than using actual statistical information. In this scenario, the description of Sarah wearing a white coat, participating in scientific experiments, and being good at chemistry fits the stereotype of a chemist. Therefore, people might be more inclined to choose option A (He is a chemist) based on this representativeness, even though the question's phrasing is inconsistent with Sarah being a woman. Additionally, the question does not provide any statistical information about the likelihood of Sarah being a chemist versus a delivery person, which could lead to an incorrect assumption based solely on stereotypes.",representativeness heuristic,0,1
"You saw in the news that a specific small town was praised for its friendly and enthusiastic residents. The population of this small town is small, but the report provides detailed stories of several residents and how they helped others. A few days later, while planning your trip, you come across a person from this small town. Based on the reports you have seen, do you think this person is also very friendly and helpful as described in the report?
Option:
A. Yes
B. No, it's not",B,Base Rate Fallacy,"The most likely cognitive bias trap in this scenario is the ""stereotyping"" or ""generalization"" bias. This occurs when you assume that an individual from a group possesses the characteristics that are commonly associated with that group, based on limited information or anecdotes. In this case, the report highlights friendly and helpful residents from a small town, leading to the assumption that any individual from that town will also possess these traits. This is a form of cognitive bias because it overlooks the individual differences and variability within any group.",stereotyping,0,0
"In a university, there are two research groups: Group A focuses on machine learning and has very few members; Group B focuses on social sciences and has expanded its enrollment in recent years, with a large number of participants. A recent evaluation of research results shows that among all graduate students who have won top academic awards, their outstanding contributions in the field of artificial intelligence are mainly attributed to them. If you know that a randomly selected award-winning graduate student is awarded for research in artificial intelligence, which group do you think this graduate student is most likely to come from?
Option:
A. Group A
B. Group B",B,Base Rate Fallacy,"The most likely cognitive bias trap in this question is the ""base rate fallacy"" or ""base rate neglect."" This cognitive bias occurs when people ignore or undervalue the base rate (the prior probability) in favor of specific information. In this scenario, the base rate refers to the number of members in each group. Group A has very few members, while Group B has a large number of participants. However, the question indicates that award-winning contributions in artificial intelligence are mainly attributed to Group A. Despite the larger size of Group B, the specific information about Group A's contributions to artificial intelligence may lead one to conclude that an award-winning student in this field is more likely from Group A, ignoring the base rate of group sizes.",base rate fallacy,1,0
"You recently saw a report on the community news that local banks often have long queues. According to the report, especially at the beginning of the month and Friday, the number of customers will surge, resulting in waiting times exceeding 30 minutes. The report also pointed out that the majority of customers make deposits or handle more complex transactions. A week later on Friday, you need to go to the bank to withdraw some cash. When you arrive at the bank, you find an obviously long queue ahead. Based on the news reports you have seen, what is the likelihood that your waiting time at the bank will exceed 30 minutes?
Option:
A. Very large
B. Very small",B,Base Rate Fallacy,"The most likely cognitive bias trap in this scenario is the ""availability heuristic."" This cognitive bias occurs when people rely on immediate examples that come to mind when evaluating a specific topic, concept, method, or decision. In this case, the recent news report about long queues at the bank might lead you to overestimate the likelihood of experiencing a long wait time, simply because the information is readily available and salient in your memory. This could lead you to choose option A (""Very large"") without considering other factors that might influence the actual waiting time on that particular day.",availability heuristic,0,1
"In a survey, an American named Tom stated that he runs at least three times a week for at least 30 minutes each time and has participated in several marathon races. Based on this information, what age group do you think Tom is more likely to be in?
Option:
A. 20-30 years old
B. 50-60 years old",B,Base Rate Fallacy,"The most likely cognitive bias trap in this question is the ""stereotyping"" bias. This bias occurs when we make assumptions about an individual based on generalized beliefs about a group they belong to. In this case, the question may lead us to stereotype Tom based on common perceptions about age and physical activity levels.

People might automatically assume that younger individuals, such as those in the 20-30 age group, are more likely to engage in regular running and marathon participation due to stereotypes about youth being more physically active. However, this assumption overlooks the fact that people of all ages can be active and participate in marathons.

Therefore, the stereotyping bias is the most likely cognitive bias trap in this scenario.",stereotyping,0,0
"There is a person named Lisa who often posts on social media about her experiences at various fashion events, shares photos of her outfits, and follows many well-known fashion bloggers and brands. Based on this information, which city do you think Lisa is more likely to live in?
Option:
A. New York
B. Kansas City",B,Base Rate Fallacy,"The most likely cognitive bias trap in this question is the ""stereotyping"" or ""representativeness heuristic"" bias. This bias occurs when people make judgments about the probability of an event or a person's characteristics based on how closely they match a particular stereotype or prototype, rather than on actual statistical probability or evidence.

In this case, the question leads us to associate Lisa's interest in fashion with New York City, a place stereotypically known for its vibrant fashion scene, over Kansas City, which is not typically associated with fashion in the same way. This could lead to an assumption that Lisa is more likely to live in New York simply because her interests match the stereotype of someone living in a major fashion hub, despite the fact that people interested in fashion can live anywhere.",stereotyping,0,0
"In a city, there are more delivery drivers and fewer doctors. If you know that a randomly selected person's job salary is very attractive, which profession do you think is most likely to be?
Option:
A. Delivery staff
B. Doctor",A,Base Rate Fallacy,"The most likely cognitive bias trap in this scenario is the ""base rate fallacy"" or ""base rate neglect."" This cognitive bias occurs when people ignore the base rate (general prevalence) of an event or characteristic in favor of specific information. In this case, the base rate is the fact that there are more delivery drivers than doctors in the city. However, when considering which profession is associated with a very attractive salary, people might focus on the specific information that doctors typically have higher salaries than delivery drivers, leading them to choose ""Doctor"" despite the fact that there are fewer doctors overall.

Therefore, the base rate fallacy could lead someone to mistakenly conclude that a randomly selected person with an attractive salary is more likely to be a doctor, even though there are more delivery drivers in the population.",base rate fallacy,1,0
"In a science and engineering university, a relatively large number of students study science, while a small number of students study humanities. Recently, the school held a poetry competition, and you heard that a student won the competition. Based on this information, which major do you think this student is most likely to be in?
Option:
A. Humanities
B. Science",B,Base Rate Fallacy,"The most likely cognitive bias trap in this scenario is the ""base rate fallacy"" or ""base rate neglect."" This cognitive bias occurs when people ignore or underweight the base rate (the general prevalence) of an event or characteristic within a given population and instead focus on specific information or anecdotal evidence.

In this case, the base rate is that a relatively large number of students study science, while a small number study humanities. Despite this, the specific information that a student won a poetry competition might lead one to assume that the student is more likely to be a humanities major, ignoring the fact that there are far more science students overall. 

Thus, the base rate fallacy could lead one to incorrectly assume that the student is more likely to be a humanities major simply because they won a poetry competition, without considering the overall distribution of majors at the university.",base rate fallacy,1,0
